,index,route_id,status,timestamp,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,route_length,ego_vehicle,carla_version,scenario,completion_score,driving_score,infraction_penalty,npc_vehicles,pedestrians,simulation_time,system_time,infraction_name
80,52,RouteScenario_52,Completed,route_52_route0_02_09_02_11_29,0,0,0,0,0,0,0,0,0,82.00997924804688,vehicle.bmw.isetta,10,7,100.0,100.0,1.0,120,0,25.450000379234552,142.07242035865784,none
81,26,RouteScenario_26,Completed,route_26_route0_02_09_01_22_34,0,0,0,0,0,0,0,0,0,83.11998033178662,vehicle.bmw.isetta,10,7,100.0,100.0,1.0,120,0,37.000000551342964,246.780118227005,none
82,68,RouteScenario_68,Failed,route_68_route0_02_09_02_48_54,0,0,1,0,0,0,0,0,0,82.0000009476335,vehicle.bmw.isetta,10,7,44.3124741497019,26.58748448982114,0.6,120,0,27.85000041499734,162.5600564479828,collisions_vehicle
83,0,RouteScenario_0,Completed,route_0_route0_02_09_00_42_22,0,0,0,0,0,0,0,0,0,82.18000091524995,vehicle.bmw.isetta,10,7,100.0,100.0,1.0,120,0,20.950000312179327,177.0513560771942,none
84,44,RouteScenario_44,Completed,route_44_route0_02_09_05_05_44,0,0,0,0,0,0,0,0,0,61.26539929186665,vehicle.bmw.isetta,10,8,100.0,100.0,1.0,120,0,28.200000420212746,313.26833486557007,none
85,15,RouteScenario_15,Completed,route_15_route0_02_09_03_46_35,0,0,0,0,0,0,0,0,0,60.901017691577785,vehicle.bmw.isetta,10,8,100.0,100.0,1.0,120,0,25.150000374764204,171.6760356426239,none
86,58,RouteScenario_58,Completed,route_58_route0_02_09_05_49_08,0,0,0,0,0,0,0,0,0,61.94757622419835,vehicle.bmw.isetta,10,8,100.0,100.0,1.0,120,0,38.800000578165054,358.243310213089,none
87,24,RouteScenario_24,Completed,route_24_route0_02_09_04_07_01,0,0,0,0,0,0,0,0,0,60.91089740578979,vehicle.bmw.isetta,10,8,100.0,100.0,1.0,120,0,34.00000050663948,271.76009225845337,none
88,49,RouteScenario_49,Completed,route_49_route0_02_09_05_21_27,0,0,0,0,0,0,0,0,0,60.92802203945554,vehicle.bmw.isetta,10,8,100.0,100.0,1.0,120,0,30.15000044927001,255.6162075996399,none
89,12,RouteScenario_12,Completed,route_12_route0_02_09_03_38_50,0,0,0,0,0,0,0,0,0,61.75131111908178,vehicle.bmw.isetta,10,8,100.0,100.0,1.0,120,0,20.500000305473804,214.50426650047302,none
90,2,RouteScenario_2,Completed,route_2_route0_02_09_04_19_43,0,0,0,0,0,0,0,0,0,61.06920292504007,vehicle.bmw.isetta,10,8,100.0,100.0,1.0,120,0,21.15000031515956,233.95194792747498,none
91,45,RouteScenario_45,Completed,route_45_route0_02_09_05_15_09,0,0,0,0,0,0,0,0,0,61.58523811688995,vehicle.bmw.isetta,10,8,100.0,100.0,1.0,120,0,21.65000032261014,175.0680513381958,none
92,28,RouteScenario_28,Completed,route_28_route0_02_09_04_14_28,0,0,0,0,0,0,0,0,0,61.59830038671384,vehicle.bmw.isetta,10,8,100.0,100.0,1.0,120,0,21.35000031813979,138.9842460155487,none
93,30,RouteScenario_30,Completed,route_30_route0_02_09_04_26_48,0,0,0,0,0,0,0,0,0,61.16392023319401,vehicle.bmw.isetta,10,8,100.0,100.0,1.0,120,0,27.450000409036875,157.65623474121094,none
94,18,RouteScenario_18,Completed,route_18_route0_02_09_03_54_58,0,0,0,0,0,0,0,0,0,60.69758307301105,vehicle.bmw.isetta,10,8,100.0,100.0,1.0,120,0,31.15000046417117,202.48112630844116,none
95,34,RouteScenario_34,Completed,route_34_route0_02_09_04_35_43,0,0,0,0,0,0,0,0,0,60.83781726315381,vehicle.bmw.isetta,10,8,100.0,100.0,1.0,120,0,25.80000038444996,201.3281421661377,none
96,11,RouteScenario_11,Completed,route_11_route0_02_09_03_31_41,0,0,0,0,0,0,0,0,0,60.41447692826555,vehicle.bmw.isetta,10,8,100.0,100.0,1.0,120,0,33.20000049471855,243.5040214061737,none
97,4,RouteScenario_4,Completed,route_4_route0_02_09_05_29_47,0,0,0,0,0,0,0,0,0,61.09374739316211,vehicle.bmw.isetta,10,8,100.0,100.0,1.0,120,0,24.75000036880374,202.78003811836243,none
98,67,RouteScenario_67,Completed,route_67_route0_02_09_06_50_51,0,0,0,0,0,0,0,0,0,61.067938290835365,vehicle.bmw.isetta,10,8,100.0,100.0,1.0,120,0,37.90000056475401,300.84821343421936,none
99,39,RouteScenario_39,Completed,route_39_route0_02_09_04_58_51,0,0,0,0,0,0,0,0,0,60.85623744415566,vehicle.bmw.isetta,10,8,100.0,100.0,1.0,120,0,25.100000374019146,198.72418904304504,none
100,71,RouteScenario_71,Completed,route_71_route0_02_09_06_59_10,0,0,0,0,0,0,0,0,0,60.57136272504224,vehicle.bmw.isetta,10,8,100.0,100.0,1.0,120,0,27.05000040307641,179.94816184043884,none
101,20,RouteScenario_20,Completed,route_20_route0_02_09_04_01_35,0,0,0,0,0,0,0,0,0,60.953372580607784,vehicle.bmw.isetta,10,8,100.0,100.0,1.0,120,0,27.85000041499734,167.2760775089264,none
102,10,RouteScenario_10,Completed,route_10_route0_02_09_03_23_39,0,0,0,0,0,0,0,0,0,61.25325971366519,vehicle.bmw.isetta,10,8,100.0,100.0,1.0,120,0,21.800000324845314,193.9642527103424,none
103,61,RouteScenario_61,Completed,route_61_route0_02_09_05_58_49,0,0,0,0,0,0,0,0,0,61.367142631099526,vehicle.bmw.isetta,10,8,100.0,100.0,1.0,120,0,28.000000417232513,265.6121003627777,none
