,index,route_id,status,timestamp,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,scenario,route_length,ego_vehicle,carla_version,completion_score,driving_score,infraction_penalty,npc_vehicles,pedestrians,simulation_time,system_time,infraction_name
97,4,RouteScenario_8_4,Failed,route_4_route0_01_20_09_05_06,1,0,0,0.0,0,0,0,0,0,8,61.09374739316211,vehicle.bmw.isetta,10,39.814811999574914,25.879627799723696,0.65,120,0,23.000000342726707,181.33330965042114,collisions_layout
98,67,RouteScenario_8_67,Completed,route_67_route0_01_20_10_22_12,0,0,0,0.0,0,0,0,0,0,8,61.067938290835365,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,42.30000063031912,319.60713028907776,none
99,39,RouteScenario_8_39,Completed,route_39_route0_01_20_08_58_16,0,0,0,23.66,0,0,0,0,0,8,60.85623744415566,vehicle.bmw.isetta,10,100.0,76.34480004056984,0.7634480004056984,120,0,26.80000039935112,147.86404514312744,none
100,71,RouteScenario_8_71,Completed,route_71_route0_01_20_10_31_41,0,0,0,0.0,0,0,0,0,0,8,60.57136272504224,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,31.500000469386578,204.34080934524536,none
101,20,RouteScenario_8_20,Completed,route_20_route0_01_20_08_02_57,0,0,0,0.0,0,0,0,0,0,8,60.953372580607784,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,31.900000475347042,206.56753730773926,none
102,10,RouteScenario_8_10,Completed,route_10_route0_01_20_06_43_12,0,0,0,0.0,0,0,0,0,0,8,61.25325971366519,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,27.000000402331352,177.77397418022156,none
103,61,RouteScenario_8_61,Completed,route_61_route0_01_20_10_05_14,0,0,0,0.0,0,0,0,0,0,8,61.367142631099526,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,61.35000091418624,345.3328540325165,none
104,63,RouteScenario_8_63,Completed,route_63_route0_01_20_10_14_07,0,0,0,0.0,0,0,0,0,0,8,61.68555879782448,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,23.400000348687172,153.7160620689392,none
105,37,RouteScenario_8_37,Completed,route_37_route0_01_20_08_48_30,0,0,0,0.0,0,0,0,0,0,8,60.903067475394465,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,52.200000777840614,372.74659299850464,none
106,51,RouteScenario_8_51,Failed,route_51_route0_01_20_09_31_44,0,0,1,26.8,0,0,0,0,0,8,60.92792055053716,vehicle.bmw.isetta,10,72.80827341821295,31.97590614219376,0.4391795690377545,120,0,26.200000390410423,150.64559364318848,collisions_vehicle
107,54,RouteScenario_8_54,Completed,route_54_route0_01_20_09_37_50,0,0,0,0.0,0,0,0,0,0,8,61.00178018503786,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,30.600000455975533,178.5960431098938,none
108,38,RouteScenario_9_38,Completed,route_38_route0_01_20_12_24_48,0,0,0,0.0,0,0,0,0,0,9,55.19927747263407,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,46.8500006981194,305.4355173110962,none
109,48,RouteScenario_9_48,Failed,route_48_route0_01_20_12_57_28,1,0,0,0.0,0,0,0,0,0,9,55.27290728705631,vehicle.bmw.isetta,10,54.85885798980303,35.65825769337197,0.65,120,0,18.450000274926424,99.73714923858643,collisions_layout
110,29,RouteScenario_9_29,Completed,route_29_route0_01_20_11_33_53,0,0,0,0.0,0,0,0,0,0,9,55.94493792555948,vehicle.bmw.isetta,10,100.0,100.0,1.0,120,0,23.000000342726707,122.54390144348145,none
