,Unnamed: 0,route_id,status,basename,collisions_layout,collisions_pedestrian,collisions_vehicle,outside_route_lanes,red_light,route_dev,route_timeout,stop_infraction,vehicle_blocked,duration_game,duration_system,route_length,total_steps,score_composed,score_penalty,score_route,infraction
153,153,RouteScenario_153,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,119.05000177398324,459.4467964172363,109.91696340852243,2380,98.60144375128289,1.0,98.60144375128289,route_timeout
154,154,RouteScenario_154,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,128.0500019080937,489.45818758010864,112.25633952510816,2560,98.05740120177649,1.0,98.05740120177649,route_timeout
155,155,RouteScenario_155,Completed,results_TCP,0,0,0,0,0,0,0,0,0,114.7000017091632,442.25479078292847,113.50148540809884,2293,100.0,1.0,100.0,False
156,156,RouteScenario_156,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,215.05000320449471,792.8816568851471,245.14782311563644,4300,98.02592793562016,1.0,98.02592793562016,route_timeout
157,157,RouteScenario_157,Completed,results_TCP,0,0,0,0,0,0,0,0,0,147.75000220164657,551.4498829841614,250.12245508861588,2954,100.0,1.0,100.0,False
158,158,RouteScenario_158,Completed,results_TCP,0,0,0,0,0,0,0,0,0,108.0000016093254,411.0165033340454,54.506131352703086,2159,100.0,1.0,100.0,False
159,159,RouteScenario_159,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,125.0500018633902,464.6464743614197,132.2912577005324,2500,98.66845135169544,1.0,98.66845135169544,route_timeout
160,160,RouteScenario_160,Completed,results_TCP,0,0,0,0,0,0,0,0,0,66.85000099614263,283.64426445961,152.37286603245602,1336,100.0,1.0,100.0,False
161,161,RouteScenario_161,Failed,results_TCP,0,0,1,1,0,0,0,0,0,56.300000838935375,219.5835587978363,170.35434195336265,1125,29.35905488725972,0.5948291749515132,49.3571198649644,outside_route_lanes
162,162,RouteScenario_162,Completed,results_TCP,0,0,0,0,0,0,0,0,0,145.05000216141343,558.2470917701721,135.50261038028492,2900,100.0,1.0,100.0,False
163,163,RouteScenario_163,Failed,results_TCP,0,0,0,0,1,0,0,0,0,130.00000193715096,499.1997902393341,184.08247304405248,2599,68.87297266979265,0.7,98.38996095684664,red_light
164,164,RouteScenario_164,Completed,results_TCP,0,0,0,0,0,0,0,0,0,165.9500024728477,695.4539399147034,185.4022201237888,3318,100.0,1.0,100.0,False
165,165,RouteScenario_165,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,213.0500031746924,790.0123996734619,262.73995804947594,4260,98.46659854220636,1.0,98.46659854220636,route_timeout
166,166,RouteScenario_166,Failed - Agent timed out,results_TCP,0,0,0,0,0,0,1,0,0,106.05000158026814,413.2989695072174,128.95913185645716,2120,97.64275447337164,1.0,97.64275447337164,route_timeout
